osmid,oneway,name,highway,reversed,length,lanes,geometry,ref,maxspeed,bridge
19341910,False,South Mercer Street,residential,False,84.181,,"LINESTRING (-80.3456397 40.997823, -80.3456599 40.9985799)",,,
19338971,False,Lawrence Street,residential,True,121.89500000000001,2,"LINESTRING (-80.3456397 40.997823, -80.346341 40.9978095, -80.3469537 40.9977977, -80.3470917 40.9977951)",,,
19341910,False,South Mercer Street,residential,True,72.196,,"LINESTRING (-80.3456397 40.997823, -80.345637 40.997652, -80.345654 40.997612, -80.345687 40.997579, -80.345869 40.997487, -80.345909 40.997452, -80.345934 40.997409, -80.345942 40.997363, -80.34594 40.997273)",,,
19326126,False,Highland Avenue,secondary,False,61.621,,"LINESTRING (-80.3444103 41.0035492, -80.344427 41.003997, -80.344417 41.004053, -80.3444 41.004101)",,,
19338477,False,North Mill Street,secondary,True,124.854,,"LINESTRING (-80.3444103 41.0035492, -80.3444017 41.00334, -80.3443983 41.0032578, -80.3443926 41.0031191, -80.3443881 41.003011, -80.3443855 41.0029478, -80.3443641 41.0024269)",,,
19326126,False,Highland Avenue,secondary,True,61.621,,"LINESTRING (-80.3444 41.004101, -80.344417 41.004053, -80.344427 41.003997, -80.3444103 41.0035492)",,,
913957978,False,Leasure Avenue,residential,True,107.192,,"LINESTRING (-80.352823 41.004287, -80.3527593 41.0033242)",,,
19326262,False,Wick Avenue,residential,False,68.986,,"LINESTRING (-80.352823 41.004287, -80.352607 41.00429, -80.352002 41.004317)",,,
19326262,False,Wick Avenue,residential,False,45.78,,"LINESTRING (-80.352002 41.004317, -80.35186 41.004326, -80.351457 41.004321)",,,
19326262,False,Wick Avenue,residential,True,68.986,,"LINESTRING (-80.352002 41.004317, -80.352607 41.00429, -80.352823 41.004287)",,,
"[19345042, 19332887]",False,"['Cuba Street', 'West Lincoln Avenue']",residential,"[False, True]",256.592,,"LINESTRING (-80.352002 41.004317, -80.352026 41.004743, -80.352033 41.005202, -80.352013 41.00525, -80.351988 41.005276, -80.351953 41.005298, -80.351891 41.005316, -80.3516264 41.0053209, -80.351419 41.0053247, -80.3511897 41.0053289, -80.3508864 41.0053344, -80.3508 41.005336, -80.350228 41.005334)",,,
19326262,False,Wick Avenue,residential,True,45.78,,"LINESTRING (-80.351457 41.004321, -80.35186 41.004326, -80.352002 41.004317)",,,
19327354,False,Phillips Place,residential,False,117.125,,"LINESTRING (-80.350192 41.004039, -80.349941 41.004046, -80.349499 41.00405, -80.3487968 41.0040669)",,,
19329997,False,North Shenango Street,residential,False,144.033,,"LINESTRING (-80.350192 41.004039, -80.3502016 41.0042542, -80.350206 41.004352, -80.3502157 41.0047865, -80.350228 41.005334)",,,
19329997,False,North Shenango Street,residential,True,71.68900000000001,,"LINESTRING (-80.350192 41.004039, -80.3501721 41.0034545, -80.3501701 41.0033945)",,,
738398098,False,North Beaver Street,residential,False,22.144,,"LINESTRING (-80.3487968 41.0040669, -80.3488025 41.004266)",,,
738398098,False,North Beaver Street,residential,True,70.593,,"LINESTRING (-80.3487968 41.0040669, -80.3487782 41.0034322)",,,
19327354,False,Phillips Place,residential,True,117.125,,"LINESTRING (-80.3487968 41.0040669, -80.349499 41.00405, -80.349941 41.004046, -80.350192 41.004039)",,,
503079961,False,South Mill Street,tertiary,False,67.641,,"LINESTRING (-80.3442 40.9973169, -80.344221 40.997925)",,,
738395944,False,Grove Avenue,secondary,True,53.273,,"LINESTRING (-80.3442 40.9973169, -80.3448344 40.9973002)",US 422 BUS,,
503079961,False,South Mill Street,tertiary,True,67.641,,"LINESTRING (-80.344221 40.997925, -80.3442 40.9973169)",,,
738395945,False,South Croton Avenue,primary,True,86.468,4,"LINESTRING (-80.344221 40.997925, -80.3448344 40.9973002)",PA 108;PA 168,25 mph,
"[164166537, 164166538, 738698139]",False,South Mill Street,tertiary,False,229.84699999999998,,"LINESTRING (-80.344221 40.997925, -80.3442301 40.9981607, -80.344255 40.9988214, -80.344264 40.9992422, -80.3442663 40.9993524, -80.3442686 40.9995547, -80.3442735 40.9999916)",,,yes
