osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,bridge
883942460,Р-84,вулиця Григора Тютюнника,primary,,False,True,21.576,"LINESTRING (24.3438805 50.1061921, 24.3439785 50.1061604, 24.3440428 50.1061222, 24.3440948 50.1060636)",,,
957983017,,,primary_link,,False,False,19.018,"LINESTRING (24.3438805 50.1061921, 24.3439577 50.1061931, 24.3440194 50.1061988, 24.3440555 50.1062065, 24.3441344 50.106233)",,,
221873767,,вулиця Івана Франка,secondary,,False,True,19.107,"LINESTRING (24.3441344 50.106233, 24.3441153 50.1061884, 24.3441061 50.1061497, 24.3441032 50.1061377, 24.3440948 50.1060636)",,,
957983017,,,primary_link,,False,True,19.018,"LINESTRING (24.3441344 50.106233, 24.3440555 50.1062065, 24.3440194 50.1061988, 24.3439577 50.1061931, 24.3438805 50.1061921)",,,
221873767,,вулиця Івана Франка,secondary,,False,False,19.107,"LINESTRING (24.3440948 50.1060636, 24.3441032 50.1061377, 24.3441061 50.1061497, 24.3441153 50.1061884, 24.3441344 50.106233)",,,
"[227919099, 830168828]",Р-84,"['вулиця Тараса Шевченка', 'вулиця Незалежності']",primary,,False,False,487.68199999999996,"LINESTRING (24.3440948 50.1060636, 24.3441793 50.1059575, 24.3442438 50.1058821, 24.3443154 50.1058036, 24.3444107 50.1057026, 24.3444937 50.1056148, 24.3445879 50.105521, 24.3448295 50.1052991, 24.3449047 50.1052353, 24.3451599 50.1050358, 24.3453558 50.1048827, 24.3456554 50.1046439, 24.3458238 50.1044995, 24.3459439 50.1043964, 24.3463696 50.1040406, 24.3475283 50.1030384, 24.3481241 50.1025263)",,,
883942460,Р-84,вулиця Григора Тютюнника,primary,,False,False,21.576,"LINESTRING (24.3440948 50.1060636, 24.3440428 50.1061222, 24.3439785 50.1061604, 24.3438805 50.1061921)",,,
227919104,,вулиця Генерала Чупринки,residential,,False,False,276.88,"LINESTRING (24.3451396 50.101408, 24.3451747 50.1014161, 24.3456052 50.1014918, 24.3461857 50.1015706, 24.3462081 50.1015726, 24.3467913 50.1016239, 24.3477979 50.1017413, 24.3483974 50.1018049, 24.3488373 50.1018617, 24.3488738 50.1018761, 24.3489347 50.1019)",,,
227919104,,вулиця Генерала Чупринки,residential,,False,True,11.978,"LINESTRING (24.3451396 50.101408, 24.3450687 50.1013915, 24.3449817 50.1013713)",,,
981827236,,,residential,,False,True,9.561,"LINESTRING (24.3451396 50.101408, 24.3450862 50.1014331, 24.3450782 50.1014368, 24.3450402 50.1014649)",,,
199406750,,вулиця Незалежності,residential,50,False,True,11.213,"LINESTRING (24.3450402 50.1014649, 24.3449817 50.1013713)",,,
"[227919107, 199406750]",,"['вулиця Незалежності', 'вулиця Степана Бандери']",residential,50,False,"[False, True]",285.504,"LINESTRING (24.3450402 50.1014649, 24.3450809 50.1015649, 24.3451223 50.1016846, 24.3452417 50.1021259, 24.3453799 50.1021426, 24.3454226 50.1021477, 24.346062 50.1022276, 24.3467505 50.1023202, 24.3480596 50.1025038, 24.3481241 50.1025263)",,,
981827236,,,residential,,False,False,9.561,"LINESTRING (24.3450402 50.1014649, 24.3450782 50.1014368, 24.3450862 50.1014331, 24.3451396 50.101408)",,,
199406750,,вулиця Незалежності,residential,50,False,False,108.542,"LINESTRING (24.3443292 50.1005206, 24.3443644 50.100765, 24.3444381 50.1009047, 24.3445435 50.1010154, 24.3449817 50.1013713)",,,
1011847906,,,residential,,False,True,35.905,"LINESTRING (24.3443292 50.1005206, 24.3444036 50.1004587, 24.3445578 50.1003778, 24.3447057 50.1003094)",,,
227919095,,Вишнева вулиця,secondary,50,False,False,242.693,"LINESTRING (24.3465007 50.1004102, 24.34652 50.1004169, 24.3465345 50.1004223, 24.3480044 50.1009653, 24.3493145 50.1014659, 24.3493813 50.101492, 24.3494324 50.1015173)",,,
227919095,,Вишнева вулиця,secondary,50,False,True,137.476,"LINESTRING (24.3465007 50.1004102, 24.3464742 50.1004019, 24.3460465 50.1002677, 24.3456586 50.1001828, 24.3453705 50.1001516, 24.3451566 50.1001634, 24.3447057 50.1003094)",,,
"[227919106, 227919109]",,"['Оранжерейна вулиця', 'Шкільна вулиця']",residential,,False,"[False, True]",375.29499999999996,"LINESTRING (24.3465007 50.1004102, 24.3465222 50.1003829, 24.3468364 50.0999829, 24.3470425 50.0997465, 24.3470992 50.0996896, 24.3471663 50.0996432, 24.3472674 50.0996223, 24.347347 50.0996287, 24.3474493 50.0996681, 24.3484511 50.1000819, 24.3493029 50.1004516, 24.3494716 50.100524, 24.3502559 50.1009051, 24.3502715 50.1009127, 24.3503809 50.1009852)",,,
176974209,Н-17,Львівська вулиця,primary,50,False,True,141.956,"LINESTRING (24.338478 50.1062486, 24.3384803 50.1062316, 24.3384974 50.1060362, 24.3384965 50.1059247, 24.3384969 50.1059045, 24.3384907 50.1056314, 24.3384798 50.1055328, 24.3384772 50.1054986, 24.3384612 50.1053523, 24.3384759 50.1052353, 24.3384907 50.105176, 24.3385255 50.1051106, 24.3385701 50.1050318, 24.3385965 50.1049859)",,,
"[883942459, 883942460, 414483110]",Р-84,вулиця Григора Тютюнника,primary,50,False,True,385.84499999999997,"LINESTRING (24.338478 50.1062486, 24.3388207 50.1062525, 24.3388592 50.1062532, 24.3389911 50.1062535, 24.3390647 50.1062524, 24.3394147 50.1062577, 24.3396574 50.1062627, 24.3400041 50.1062705, 24.340558 50.1062838, 24.3409916 50.10629, 24.3413964 50.1062969, 24.3415578 50.1062969, 24.3417703 50.1062976, 24.341889 50.1062947, 24.3420709 50.1062844, 24.3424979 50.10626, 24.3431202 50.1062245, 24.3438805 50.1061921)",,,yes
