osmid,name,highway,oneway,reversed,length,geometry
504898194,Rua Ernesto Alves,residential,False,True,66.749,"LINESTRING (-50.7840976 -29.6425124, -50.7841908 -29.6431072)"
153918191,Rua Alameda dos Pinheiros,residential,False,True,61.815,"LINESTRING (-50.7814053 -29.6425456, -50.7813597 -29.6419911)"
153918451,Rua Arnaldo da Costa Bard,residential,False,True,137.73499999999999,"LINESTRING (-50.7791941 -29.6425636, -50.779234 -29.6426715, -50.7793735 -29.6437903)"
357846345,Rua Arnaldo da Costa Barth,residential,False,False,204.159,"LINESTRING (-50.7791941 -29.6425636, -50.7792661 -29.6425224, -50.7809112 -29.6414942)"
153918076,Rua Alameda dos Ipês,residential,False,False,75.937,"LINESTRING (-50.7819227 -29.6427193, -50.7818819 -29.6420373)"
153918316,Rua Oscar Bauermann,residential,False,True,139.246,"LINESTRING (-50.7869692 -29.6428395, -50.785536 -29.6429683)"
153918411,Rua Dona Érica,residential,False,False,69.616,"LINESTRING (-50.7869692 -29.6428395, -50.7868768 -29.6422186)"
153918411,Rua Dona Érica,residential,False,True,67.766,"LINESTRING (-50.7869692 -29.6428395, -50.7870497 -29.6434449)"
153918316,Rua Oscar Bauermann,residential,False,False,139.246,"LINESTRING (-50.785536 -29.6429683, -50.7869692 -29.6428395)"
153918316,Rua Oscar Bauermann,residential,False,True,130.917,"LINESTRING (-50.785536 -29.6429683, -50.7841908 -29.6431072)"
357556581,Rua Dona Ella,residential,False,True,68.367,"LINESTRING (-50.785536 -29.6429683, -50.7854646 -29.6423566)"
153918316,Rua Oscar Bauermann,residential,False,False,130.917,"LINESTRING (-50.7841908 -29.6431072, -50.785536 -29.6429683)"
504898194,Rua Ernesto Alves,residential,False,False,66.749,"LINESTRING (-50.7841908 -29.6431072, -50.7840976 -29.6425124)"
504898194,Rua Ernesto Alves,residential,False,True,67.519,"LINESTRING (-50.7841908 -29.6431072, -50.784269 -29.6437106)"
153918287,Rua Venâncio Aires,residential,False,True,94.377,"LINESTRING (-50.7880211 -29.6433577, -50.7870497 -29.6434449)"
895028457,Rua Henrique Bauermann,residential,False,False,119.435,"LINESTRING (-50.7880211 -29.6433577, -50.7881449 -29.6444264)"
153918287,Rua Venâncio Aires,residential,False,False,94.377,"LINESTRING (-50.7870497 -29.6434449, -50.7880211 -29.6433577)"
153918287,Rua Venâncio Aires,residential,False,True,90.668,"LINESTRING (-50.7870497 -29.6434449, -50.7861172 -29.6435345)"
153918411,Rua Dona Érica,residential,False,False,67.766,"LINESTRING (-50.7870497 -29.6434449, -50.7869692 -29.6428395)"
153918066,Rua José Júlio Muller,residential,False,True,109.734,"LINESTRING (-50.7861172 -29.6435345, -50.7862449 -29.6445151)"
153918287,Rua Venâncio Aires,residential,False,False,90.668,"LINESTRING (-50.7861172 -29.6435345, -50.7870497 -29.6434449)"
153918287,Rua Venâncio Aires,residential,False,True,179.683,"LINESTRING (-50.7861172 -29.6435345, -50.784269 -29.6437106)"
153918287,Rua Venâncio Aires,residential,False,False,179.683,"LINESTRING (-50.784269 -29.6437106, -50.7861172 -29.6435345)"
504898194,Rua Ernesto Alves,residential,False,False,67.519,"LINESTRING (-50.784269 -29.6437106, -50.7841908 -29.6431072)"
668809616,Rua Ernesto Alves,residential,False,True,240.743,"LINESTRING (-50.784269 -29.6437106, -50.7845708 -29.6458597)"
668809618,Rua Venâncio Aires,residential,False,True,152.77,"LINESTRING (-50.784269 -29.6437106, -50.7826941 -29.6438291)"
153918451,Rua Arnaldo da Costa Bard,residential,False,True,90.414,"LINESTRING (-50.7793735 -29.6437903, -50.7794686 -29.6445992)"
153918451,Rua Arnaldo da Costa Bard,residential,False,False,137.73499999999999,"LINESTRING (-50.7793735 -29.6437903, -50.779234 -29.6426715, -50.7791941 -29.6425636)"
153918077,Rua Albano Emydio Eltz,residential,False,True,95.004,"LINESTRING (-50.7798584 -29.64395, -50.7808414 -29.6439412)"
153918077,Rua Albano Emydio Eltz,residential,False,False,95.004,"LINESTRING (-50.7808414 -29.6439412, -50.7798584 -29.64395)"
153918405,Rua Nelson Renck,residential,False,False,220.379,"LINESTRING (-50.7808414 -29.6439412, -50.7808983 -29.6419599)"
153918405,Rua Nelson Renck,residential,False,True,66.059,"LINESTRING (-50.7808414 -29.6439412, -50.7808204 -29.644535)"
668809618,Rua Venâncio Aires,residential,False,False,152.77,"LINESTRING (-50.7826941 -29.6438291, -50.784269 -29.6437106)"
668809620,Rua Edmundo Saft,tertiary,False,True,46.068,"LINESTRING (-50.7826941 -29.6438291, -50.7823869 -29.6441459)"
162504969,Rua Edmundo Saft,tertiary,False,False,238.801,"LINESTRING (-50.7826941 -29.6438291, -50.782857 -29.6436911, -50.7831282 -29.6434159, -50.7831962 -29.643323, -50.7832506 -29.64321, -50.7833039 -29.6428342, -50.7833909 -29.6423493, -50.7834701 -29.6421182, -50.783497 -29.6419579, -50.7834978 -29.6418755)"
153918484,Rua Carlos Kroeff,residential,False,True,87.33,"LINESTRING (-50.7881449 -29.6444264, -50.7872418 -29.6444539)"
895028457,Rua Henrique Bauermann,residential,False,False,124.782,"LINESTRING (-50.7881449 -29.6444264, -50.788277 -29.6455427)"
895028457,Rua Henrique Bauermann,residential,False,True,119.435,"LINESTRING (-50.7881449 -29.6444264, -50.7880211 -29.6433577)"
153918405,Rua Nelson Renck,residential,False,False,66.059,"LINESTRING (-50.7808204 -29.644535, -50.7808414 -29.6439412)"
153918405,Rua Nelson Renck,residential,False,True,183.55,"LINESTRING (-50.7808204 -29.644535, -50.7807692 -29.6461851)"
357846341,Rua General Emilio Lúcio Esteves,residential,False,False,127.701,"LINESTRING (-50.7808204 -29.644535, -50.7821417 -29.644549)"
357846341,Rua General Emilio Lúcio Esteves,residential,False,True,130.987,"LINESTRING (-50.7808204 -29.644535, -50.780097 -29.6445409, -50.7794686 -29.6445992)"
153918066,Rua José Júlio Muller,residential,False,False,109.734,"LINESTRING (-50.7862449 -29.6445151, -50.7861172 -29.6435345)"
153918066,Rua José Júlio Muller,residential,False,True,133.219,"LINESTRING (-50.7862449 -29.6445151, -50.7864223 -29.6457032)"
